Train Name,Destination Station,Arrival Time
Train 1,Glenbury,0003
Train 1,Dormont,0006
Train 1,Mt Lebanon,0009
Train 1,Poplar,0015
Train 1,Castle Shannon,0018
Train 1,Dormont,0023
Train 1,Glenbury,0026
Train 1,Overbrook,0029
Train 1,Inglewood,0032
Train 2,Glenbury,0033
Train 1,Central,0035
Train 2,Dormont,0036
Train 2,Mt Lebanon,0039
Train 1,Edgebrook,0041
Train 1,Pioneer,0045
Train 2,Poplar,0045
Train 2,Castle Shannon,0048
Train 1,Falcon,0049
Train 1,Whited,0053
Train 2,Dormont,0053
Train 1,South Bank,0056
Train 2,Glenbury,0056
Train 1,Central,0058
Train 2,Overbrook,0059
Train 1,Inglewood,0101
Train 2,Inglewood,0102
Train 3,Glenbury,0103
Train 1,Overbrook,0104
Train 2,Central,0105
Train 1,Yard,0106
Train 3,Dormont,0106
Train 3,Mt Lebanon,0109
Train 2,Edgebrook,0111
Train 2,Pioneer,0115
Train 3,Poplar,0115
Train 3,Castle Shannon,0118
Train 2,Falcon,0119
Train 2,Whited,0123
Train 3,Dormont,0123
Train 2,South Bank,0126
Train 3,Glenbury,0126
Train 2,Central,0128
Train 3,Overbrook,0129
Train 2,Inglewood,0131
Train 3,Inglewood,0132
Train 4,Glenbury,0133
Train 2,Overbrook,0134
Train 3,Central,0135
Train 2,Yard,0136
Train 4,Dormont,0136
Train 4,Mt Lebanon,0139
Train 3,Edgebrook,0141
Train 3,Pioneer,0145
Train 4,Poplar,0145
Train 4,Castle Shannon,0148
Train 3,Falcon,0149
Train 3,Whited,0153
Train 4,Dormont,0153
Train 3,South Bank,0156
Train 4,Glenbury,0156
Train 3,Central,0158
Train 4,Overbrook,0159
Train 3,Inglewood,0201
Train 4,Inglewood,0202
Train 5,Glenbury,0203
Train 3,Overbrook,0204
Train 4,Central,0205
Train 3,Yard,0206
Train 5,Dormont,0206
Train 5,Mt Lebanon,0209
Train 4,Edgebrook,0211
Train 4,Pioneer,0215
Train 5,Poplar,0215
Train 5,Castle Shannon,0218
Train 4,Falcon,0219
Train 4,Whited,0223
Train 5,Dormont,0223
Train 4,South Bank,0226
Train 5,Glenbury,0226
Train 4,Central,0228
Train 5,Overbrook,0229
Train 4,Inglewood,0231
Train 5,Inglewood,0232
Train 6,Glenbury,0233
Train 4,Overbrook,0234
Train 5,Central,0235
Train 4,Yard,0236
Train 6,Dormont,0236
Train 6,Mt Lebanon,0239
Train 5,Edgebrook,0241
Train 5,Pioneer,0245
Train 6,Poplar,0245
Train 6,Castle Shannon,0248
Train 5,Falcon,0249
Train 5,Whited,0253
Train 6,Dormont,0253
Train 5,South Bank,0256
Train 6,Glenbury,0256
Train 5,Central,0258
Train 6,Overbrook,0259
Train 5,Inglewood,0301
Train 6,Inglewood,0302
Train 7,Glenbury,0303
Train 5,Overbrook,0304
Train 6,Central,0305
Train 5,Yard,0306
Train 7,Dormont,0306
Train 7,Mt Lebanon,0309
Train 6,Edgebrook,0311
Train 6,Pioneer,0315
Train 7,Poplar,0315
Train 7,Castle Shannon,0318
Train 6,Falcon,0319
Train 6,Whited,0323
Train 7,Dormont,0323
Train 6,South Bank,0326
Train 7,Glenbury,0326
Train 6,Central,0328
Train 7,Overbrook,0329
Train 6,Inglewood,0331
Train 7,Inglewood,0332
Train 8,Glenbury,0333
Train 6,Overbrook,0334
Train 7,Central,0335
Train 6,Yard,0336
Train 8,Dormont,0336
Train 8,Mt Lebanon,0339
Train 7,Edgebrook,0341
Train 7,Pioneer,0345
Train 8,Poplar,0345
Train 8,Castle Shannon,0348
Train 7,Falcon,0349
Train 7,Whited,0353
Train 8,Dormont,0353
Train 7,South Bank,0356
Train 8,Glenbury,0356
Train 7,Central,0358
Train 8,Overbrook,0359
Train 7,Inglewood,0401
Train 8,Inglewood,0402
Train 9,Glenbury,0403
Train 7,Overbrook,0404
Train 8,Central,0405
Train 7,Yard,0406
Train 9,Dormont,0406
Train 9,Mt Lebanon,0409
Train 8,Edgebrook,0411
Train 8,Pioneer,0415
Train 9,Poplar,0415
Train 9,Castle Shannon,0418
Train 8,Falcon,0419
Train 8,Whited,0423
Train 9,Dormont,0423
Train 8,South Bank,0426
Train 9,Glenbury,0426
Train 8,Central,0428
Train 9,Overbrook,0429
Train 8,Inglewood,0431
Train 9,Inglewood,0432
Train 10,Glenbury,0433
Train 8,Overbrook,0434
Train 9,Central,0435
Train 8,Yard,0436
Train 10,Dormont,0436
Train 10,Mt Lebanon,0439
Train 9,Edgebrook,0441
Train 9,Pioneer,0445
Train 10,Poplar,0445
Train 10,Castle Shannon,0448
Train 9,Falcon,0449
Train 9,Whited,0453
Train 10,Dormont,0453
Train 9,South Bank,0456
Train 10,Glenbury,0456
Train 9,Central,0458
Train 10,Overbrook,0459
Train 9,Inglewood,0501
Train 10,Inglewood,0502
Train 9,Overbrook,0504
Train 10,Central,0505
Train 9,Yard,0506
Train 10,Edgebrook,0511
Train 10,Pioneer,0515
Train 10,Falcon,0519
Train 10,Whited,0523
Train 10,South Bank,0526
Train 10,Central,0528
Train 10,Inglewood,0531
Train 10,Overbrook,0534
Train 10,Yard,0536
